Название;Детальное описание;Максимальная цена;Ед. измерения;Доступность
Колер 016 изумрудный универсальный 100мл Престиж (6);"ОБЛАСТЬ ПРЕМИНЕНИЯ
Предназначена для колеровки эмалей, красок, лаков и шпатлевок всех типов: латексных и акриловых на водной основе, алкидных на органических растворителях, масляных на олифах и других лакокрасочных материалов, а так же цементных составов, штукатурок, затирок для швов.
Используется для наружных и внутренних работ, для всех видов поверхностей.

СВОЙСТВА
Высокая универсальность применения, светостойкость, яркость, насыщенность оттенков. Паста морозоустойчива, имеет длительный срок хранения. Не образует плёнки и сгустков при хранении. Светлые тона получаются при введении пасты 0,1-0,5% от веса колеруемого материала. Позволяет колеровать глубокие тона. Паста содержит высокодисперсные импортные и российские пигменты, обладающие высокой светостойкостью и атмосферостойкостью.

ПРИМИНЕНИЕ 
Паста выпускается готовой к применению. Перед использование флакон с пастой встряхнуть, необходимое количество пасты добавить в небольшую часть краски, перемешать. Полученную смесь добавить при постоянном перемешивании в остальную часть краски, вновь тщательно перемешать. Вводить в краски - не более 10,0%.

СОСТАВ
Пропиленгликоль, пигменты, вода, функциональные добавки";55.00;штука;нет
Колер 017 синий универсальный 100мл Престиж (6);"ОБЛАСТЬ ПРЕМИНЕНИЯ
Предназначена для колеровки эмалей, красок, лаков и шпатлевок всех типов: латексных и акриловых на водной основе, алкидных на органических растворителях, масляных на олифах и других лакокрасочных материалов, а так же цементных составов, штукатурок, затирок для швов.
Используется для наружных и внутренних работ, для всех видов поверхностей.

СВОЙСТВА
Высокая универсальность применения, светостойкость, яркость, насыщенность оттенков. Паста морозоустойчива, имеет длительный срок хранения. Не образует плёнки и сгустков при хранении. Светлые тона получаются при введении пасты 0,1-0,5% от веса колеруемого материала. Позволяет колеровать глубокие тона. Паста содержит высокодисперсные импортные и российские пигменты, обладающие высокой светостойкостью и атмосферостойкостью.

ПРИМИНЕНИЕ 
Паста выпускается готовой к применению. Перед использование флакон с пастой встряхнуть, необходимое количество пасты добавить в небольшую часть краски, перемешать. Полученную смесь добавить при постоянном перемешивании в остальную часть краски, вновь тщательно перемешать. Вводить в краски - не более 10,0%.

СОСТАВ
Пропиленгликоль, пигменты, вода, функциональные добавки";55.00;штука;нет
Колер 019 морская волна универсальный 100мл Престиж (6шт);"ОБЛАСТЬ ПРЕМИНЕНИЯ
Предназначена для колеровки эмалей, красок, лаков и шпатлевок всех типов: латексных и акриловых на водной основе, алкидных на органических растворителях, масляных на олифах и других лакокрасочных материалов, а так же цементных составов, штукатурок, затирок для швов.
Используется для наружных и внутренних работ, для всех видов поверхностей.

СВОЙСТВА
Высокая универсальность применения, светостойкость, яркость, насыщенность оттенков. Паста морозоустойчива, имеет длительный срок хранения. Не образует плёнки и сгустков при хранении. Светлые тона получаются при введении пасты 0,1-0,5% от веса колеруемого материала. Позволяет колеровать глубокие тона. Паста содержит высокодисперсные импортные и российские пигменты, обладающие высокой светостойкостью и атмосферостойкостью.

ПРИМИНЕНИЕ 
Паста выпускается готовой к применению. Перед использование флакон с пастой встряхнуть, необходимое количество пасты добавить в небольшую часть краски, перемешать. Полученную смесь добавить при постоянном перемешивании в остальную часть краски, вновь тщательно перемешать. Вводить в краски - не более 10,0%.

СОСТАВ
Пропиленгликоль, пигменты, вода, функциональные добавки";55.00;штука;да
Колер 020 зеленый универсальный 100мл Престиж (6);"ОБЛАСТЬ ПРЕМИНЕНИЯ
Предназначена для колеровки эмалей, красок, лаков и шпатлевок всех типов: латексных и акриловых на водной основе, алкидных на органических растворителях, масляных на олифах и других лакокрасочных материалов, а так же цементных составов, штукатурок, затирок для швов.
Используется для наружных и внутренних работ, для всех видов поверхностей.

СВОЙСТВА
Высокая универсальность применения, светостойкость, яркость, насыщенность оттенков. Паста морозоустойчива, имеет длительный срок хранения. Не образует плёнки и сгустков при хранении. Светлые тона получаются при введении пасты 0,1-0,5% от веса колеруемого материала. Позволяет колеровать глубокие тона. Паста содержит высокодисперсные импортные и российские пигменты, обладающие высокой светостойкостью и атмосферостойкостью.

ПРИМИНЕНИЕ 
Паста выпускается готовой к применению. Перед использование флакон с пастой встряхнуть, необходимое количество пасты добавить в небольшую часть краски, перемешать. Полученную смесь добавить при постоянном перемешивании в остальную часть краски, вновь тщательно перемешать. Вводить в краски - не более 10,0%.

СОСТАВ
Пропиленгликоль, пигменты, вода, функциональные добавки";55.00;штука;нет
Колер 021 темно-красный универсальный 100мл Престиж (6);"ОБЛАСТЬ ПРЕМИНЕНИЯ
Предназначена для колеровки эмалей, красок, лаков и шпатлевок всех типов: латексных и акриловых на водной основе, алкидных на органических растворителях, масляных на олифах и других лакокрасочных материалов, а так же цементных составов, штукатурок, затирок для швов.
Используется для наружных и внутренних работ, для всех видов поверхностей.

СВОЙСТВА
Высокая универсальность применения, светостойкость, яркость, насыщенность оттенков. Паста морозоустойчива, имеет длительный срок хранения. Не образует плёнки и сгустков при хранении. Светлые тона получаются при введении пасты 0,1-0,5% от веса колеруемого материала. Позволяет колеровать глубокие тона. Паста содержит высокодисперсные импортные и российские пигменты, обладающие высокой светостойкостью и атмосферостойкостью.

ПРИМИНЕНИЕ 
Паста выпускается готовой к применению. Перед использование флакон с пастой встряхнуть, необходимое количество пасты добавить в небольшую часть краски, перемешать. Полученную смесь добавить при постоянном перемешивании в остальную часть краски, вновь тщательно перемешать. Вводить в краски - не более 10,0%.

СОСТАВ
Пропиленгликоль, пигменты, вода, функциональные добавки";55.00;штука;нет
Колер 022 желто-коричневый универсальный 100мл Престиж (6);"ОБЛАСТЬ ПРЕМИНЕНИЯ
Предназначена для колеровки эмалей, красок, лаков и шпатлевок всех типов: латексных и акриловых на водной основе, алкидных на органических растворителях, масляных на олифах и других лакокрасочных материалов, а так же цементных составов, штукатурок, затирок для швов.
Используется для наружных и внутренних работ, для всех видов поверхностей.

СВОЙСТВА
Высокая универсальность применения, светостойкость, яркость, насыщенность оттенков. Паста морозоустойчива, имеет длительный срок хранения. Не образует плёнки и сгустков при хранении. Светлые тона получаются при введении пасты 0,1-0,5% от веса колеруемого материала. Позволяет колеровать глубокие тона. Паста содержит высокодисперсные импортные и российские пигменты, обладающие высокой светостойкостью и атмосферостойкостью.

ПРИМИНЕНИЕ 
Паста выпускается готовой к применению. Перед использование флакон с пастой встряхнуть, необходимое количество пасты добавить в небольшую часть краски, перемешать. Полученную смесь добавить при постоянном перемешивании в остальную часть краски, вновь тщательно перемешать. Вводить в краски - не более 10,0%.

СОСТАВ
Пропиленгликоль, пигменты, вода, функциональные добавки";55.00;штука;да
Колер 023 бежевый универсальный 100мл Престиж (6);"ОБЛАСТЬ ПРЕМИНЕНИЯ
Предназначена для колеровки эмалей, красок, лаков и шпатлевок всех типов: латексных и акриловых на водной основе, алкидных на органических растворителях, масляных на олифах и других лакокрасочных материалов, а так же цементных составов, штукатурок, затирок для швов.
Используется для наружных и внутренних работ, для всех видов поверхностей.

СВОЙСТВА
Высокая универсальность применения, светостойкость, яркость, насыщенность оттенков. Паста морозоустойчива, имеет длительный срок хранения. Не образует плёнки и сгустков при хранении. Светлые тона получаются при введении пасты 0,1-0,5% от веса колеруемого материала. Позволяет колеровать глубокие тона. Паста содержит высокодисперсные импортные и российские пигменты, обладающие высокой светостойкостью и атмосферостойкостью.

ПРИМИНЕНИЕ 
Паста выпускается готовой к применению. Перед использование флакон с пастой встряхнуть, необходимое количество пасты добавить в небольшую часть краски, перемешать. Полученную смесь добавить при постоянном перемешивании в остальную часть краски, вновь тщательно перемешать. Вводить в краски - не более 10,0%.

СОСТАВ
Пропиленгликоль, пигменты, вода, функциональные добавки";55.00;штука;да
Колер 024 кофейный универсальный 100мл Престиж (6);"ОБЛАСТЬ ПРЕМИНЕНИЯ
Предназначена для колеровки эмалей, красок, лаков и шпатлевок всех типов: латексных и акриловых на водной основе, алкидных на органических растворителях, масляных на олифах и других лакокрасочных материалов, а так же цементных составов, штукатурок, затирок для швов.
Используется для наружных и внутренних работ, для всех видов поверхностей.

СВОЙСТВА
Высокая универсальность применения, светостойкость, яркость, насыщенность оттенков. Паста морозоустойчива, имеет длительный срок хранения. Не образует плёнки и сгустков при хранении. Светлые тона получаются при введении пасты 0,1-0,5% от веса колеруемого материала. Позволяет колеровать глубокие тона. Паста содержит высокодисперсные импортные и российские пигменты, обладающие высокой светостойкостью и атмосферостойкостью.

ПРИМИНЕНИЕ 
Паста выпускается готовой к применению. Перед использование флакон с пастой встряхнуть, необходимое количество пасты добавить в небольшую часть краски, перемешать. Полученную смесь добавить при постоянном перемешивании в остальную часть краски, вновь тщательно перемешать. Вводить в краски - не более 10,0%.

СОСТАВ
Пропиленгликоль, пигменты, вода, функциональные добавки";55.00;штука;да
Колер 025 коричневый VIOLET универсальный 100мл Престиж (6);"ОБЛАСТЬ ПРЕМИНЕНИЯ
Предназначена для колеровки эмалей, красок, лаков и шпатлевок всех типов: латексных и акриловых на водной основе, алкидных на органических растворителях, масляных на олифах и других лакокрасочных материалов, а так же цементных составов, штукатурок, затирок для швов.
Используется для наружных и внутренних работ, для всех видов поверхностей.

СВОЙСТВА
Высокая универсальность применения, светостойкость, яркость, насыщенность оттенков. Паста морозоустойчива, имеет длительный срок хранения. Не образует плёнки и сгустков при хранении. Светлые тона получаются при введении пасты 0,1-0,5% от веса колеруемого материала. Позволяет колеровать глубокие тона. Паста содержит высокодисперсные импортные и российские пигменты, обладающие высокой светостойкостью и атмосферостойкостью.

ПРИМИНЕНИЕ 
Паста выпускается готовой к применению. Перед использование флакон с пастой встряхнуть, необходимое количество пасты добавить в небольшую часть краски, перемешать. Полученную смесь добавить при постоянном перемешивании в остальную часть краски, вновь тщательно перемешать. Вводить в краски - не более 10,0%.

СОСТАВ
Пропиленгликоль, пигменты, вода, функциональные добавки";55.00;штука;нет
Колер 027 кремовый универсальный 100мл Престиж (6);"ОБЛАСТЬ ПРЕМИНЕНИЯ
Предназначена для колеровки эмалей, красок, лаков и шпатлевок всех типов: латексных и акриловых на водной основе, алкидных на органических растворителях, масляных на олифах и других лакокрасочных материалов, а так же цементных составов, штукатурок, затирок для швов.
Используется для наружных и внутренних работ, для всех видов поверхностей.

СВОЙСТВА
Высокая универсальность применения, светостойкость, яркость, насыщенность оттенков. Паста морозоустойчива, имеет длительный срок хранения. Не образует плёнки и сгустков при хранении. Светлые тона получаются при введении пасты 0,1-0,5% от веса колеруемого материала. Позволяет колеровать глубокие тона. Паста содержит высокодисперсные импортные и российские пигменты, обладающие высокой светостойкостью и атмосферостойкостью.

ПРИМИНЕНИЕ 
Паста выпускается готовой к применению. Перед использование флакон с пастой встряхнуть, необходимое количество пасты добавить в небольшую часть краски, перемешать. Полученную смесь добавить при постоянном перемешивании в остальную часть краски, вновь тщательно перемешать. Вводить в краски - не более 10,0%.

СОСТАВ
Пропиленгликоль, пигменты, вода, функциональные добавки";55.00;штука;да
Колер 028 светло-коричневый универсальный 100мл Престиж (6);"ОБЛАСТЬ ПРЕМИНЕНИЯ
Предназначена для колеровки эмалей, красок, лаков и шпатлевок всех типов: латексных и акриловых на водной основе, алкидных на органических растворителях, масляных на олифах и других лакокрасочных материалов, а так же цементных составов, штукатурок, затирок для швов.
Используется для наружных и внутренних работ, для всех видов поверхностей.

СВОЙСТВА
Высокая универсальность применения, светостойкость, яркость, насыщенность оттенков. Паста морозоустойчива, имеет длительный срок хранения. Не образует плёнки и сгустков при хранении. Светлые тона получаются при введении пасты 0,1-0,5% от веса колеруемого материала. Позволяет колеровать глубокие тона. Паста содержит высокодисперсные импортные и российские пигменты, обладающие высокой светостойкостью и атмосферостойкостью.

ПРИМИНЕНИЕ 
Паста выпускается готовой к применению. Перед использование флакон с пастой встряхнуть, необходимое количество пасты добавить в небольшую часть краски, перемешать. Полученную смесь добавить при постоянном перемешивании в остальную часть краски, вновь тщательно перемешать. Вводить в краски - не более 10,0%.

СОСТАВ
Пропиленгликоль, пигменты, вода, функциональные добавки";55.00;штука;да
Колер 029 слоновая кость универсальный 100мл Престиж (6);"ОБЛАСТЬ ПРЕМИНЕНИЯ
Предназначена для колеровки эмалей, красок, лаков и шпатлевок всех типов: латексных и акриловых на водной основе, алкидных на органических растворителях, масляных на олифах и других лакокрасочных материалов, а так же цементных составов, штукатурок, затирок для швов.
Используется для наружных и внутренних работ, для всех видов поверхностей.

СВОЙСТВА
Высокая универсальность применения, светостойкость, яркость, насыщенность оттенков. Паста морозоустойчива, имеет длительный срок хранения. Не образует плёнки и сгустков при хранении. Светлые тона получаются при введении пасты 0,1-0,5% от веса колеруемого материала. Позволяет колеровать глубокие тона. Паста содержит высокодисперсные импортные и российские пигменты, обладающие высокой светостойкостью и атмосферостойкостью.

ПРИМИНЕНИЕ 
Паста выпускается готовой к применению. Перед использование флакон с пастой встряхнуть, необходимое количество пасты добавить в небольшую часть краски, перемешать. Полученную смесь добавить при постоянном перемешивании в остальную часть краски, вновь тщательно перемешать. Вводить в краски - не более 10,0%.

СОСТАВ
Пропиленгликоль, пигменты, вода, функциональные добавки";55.00;штука;нет
Колер 030 коричневый RED универсальный 100мл Престиж (6);"ОБЛАСТЬ ПРЕМИНЕНИЯ
Предназначена для колеровки эмалей, красок, лаков и шпатлевок всех типов: латексных и акриловых на водной основе, алкидных на органических растворителях, масляных на олифах и других лакокрасочных материалов, а так же цементных составов, штукатурок, затирок для швов.
Используется для наружных и внутренних работ, для всех видов поверхностей.

СВОЙСТВА
Высокая универсальность применения, светостойкость, яркость, насыщенность оттенков. Паста морозоустойчива, имеет длительный срок хранения. Не образует плёнки и сгустков при хранении. Светлые тона получаются при введении пасты 0,1-0,5% от веса колеруемого материала. Позволяет колеровать глубокие тона. Паста содержит высокодисперсные импортные и российские пигменты, обладающие высокой светостойкостью и атмосферостойкостью.

ПРИМИНЕНИЕ 
Паста выпускается готовой к применению. Перед использование флакон с пастой встряхнуть, необходимое количество пасты добавить в небольшую часть краски, перемешать. Полученную смесь добавить при постоянном перемешивании в остальную часть краски, вновь тщательно перемешать. Вводить в краски - не более 10,0%.

СОСТАВ
Пропиленгликоль, пигменты, вода, функциональные добавки";55.00;штука;да
Колер 031 коричневый универсальный 100мл Престиж (6);"ОБЛАСТЬ ПРЕМИНЕНИЯ
Предназначена для колеровки эмалей, красок, лаков и шпатлевок всех типов: латексных и акриловых на водной основе, алкидных на органических растворителях, масляных на олифах и других лакокрасочных материалов, а так же цементных составов, штукатурок, затирок для швов.
Используется для наружных и внутренних работ, для всех видов поверхностей.

СВОЙСТВА
Высокая универсальность применения, светостойкость, яркость, насыщенность оттенков. Паста морозоустойчива, имеет длительный срок хранения. Не образует плёнки и сгустков при хранении. Светлые тона получаются при введении пасты 0,1-0,5% от веса колеруемого материала. Позволяет колеровать глубокие тона. Паста содержит высокодисперсные импортные и российские пигменты, обладающие высокой светостойкостью и атмосферостойкостью.

ПРИМИНЕНИЕ 
Паста выпускается готовой к применению. Перед использование флакон с пастой встряхнуть, необходимое количество пасты добавить в небольшую часть краски, перемешать. Полученную смесь добавить при постоянном перемешивании в остальную часть краски, вновь тщательно перемешать. Вводить в краски - не более 10,0%.

СОСТАВ
Пропиленгликоль, пигменты, вода, функциональные добавки";55.00;штука;нет
Колер 032 лайм универсальный 100мл Престиж (6);"ОБЛАСТЬ ПРЕМИНЕНИЯ
Предназначена для колеровки эмалей, красок, лаков и шпатлевок всех типов: латексных и акриловых на водной основе, алкидных на органических растворителях, масляных на олифах и других лакокрасочных материалов, а так же цементных составов, штукатурок, затирок для швов.
Используется для наружных и внутренних работ, для всех видов поверхностей.

СВОЙСТВА
Высокая универсальность применения, светостойкость, яркость, насыщенность оттенков. Паста морозоустойчива, имеет длительный срок хранения. Не образует плёнки и сгустков при хранении. Светлые тона получаются при введении пасты 0,1-0,5% от веса колеруемого материала. Позволяет колеровать глубокие тона. Паста содержит высокодисперсные импортные и российские пигменты, обладающие высокой светостойкостью и атмосферостойкостью.

ПРИМИНЕНИЕ 
Паста выпускается готовой к применению. Перед использование флакон с пастой встряхнуть, необходимое количество пасты добавить в небольшую часть краски, перемешать. Полученную смесь добавить при постоянном перемешивании в остальную часть краски, вновь тщательно перемешать. Вводить в краски - не более 10,0%.

СОСТАВ
Пропиленгликоль, пигменты, вода, функциональные добавки";55.00;штука;да
Колер 033 бирюзовый универсальный 100мл Престиж (6);"ОБЛАСТЬ ПРЕМИНЕНИЯ
Предназначена для колеровки эмалей, красок, лаков и шпатлевок всех типов: латексных и акриловых на водной основе, алкидных на органических растворителях, масляных на олифах и других лакокрасочных материалов, а так же цементных составов, штукатурок, затирок для швов.
Используется для наружных и внутренних работ, для всех видов поверхностей.

СВОЙСТВА
Высокая универсальность применения, светостойкость, яркость, насыщенность оттенков. Паста морозоустойчива, имеет длительный срок хранения. Не образует плёнки и сгустков при хранении. Светлые тона получаются при введении пасты 0,1-0,5% от веса колеруемого материала. Позволяет колеровать глубокие тона. Паста содержит высокодисперсные импортные и российские пигменты, обладающие высокой светостойкостью и атмосферостойкостью.

ПРИМИНЕНИЕ 
Паста выпускается готовой к применению. Перед использование флакон с пастой встряхнуть, необходимое количество пасты добавить в небольшую часть краски, перемешать. Полученную смесь добавить при постоянном перемешивании в остальную часть краски, вновь тщательно перемешать. Вводить в краски - не более 10,0%.

СОСТАВ
Пропиленгликоль, пигменты, вода, функциональные добавки";55.00;штука;да
Колер 034 красный универсальный 100мл Престиж (6);"ОБЛАСТЬ ПРЕМИНЕНИЯ
Предназначена для колеровки эмалей, красок, лаков и шпатлевок всех типов: латексных и акриловых на водной основе, алкидных на органических растворителях, масляных на олифах и других лакокрасочных материалов, а так же цементных составов, штукатурок, затирок для швов.
Используется для наружных и внутренних работ, для всех видов поверхностей.

СВОЙСТВА
Высокая универсальность применения, светостойкость, яркость, насыщенность оттенков. Паста морозоустойчива, имеет длительный срок хранения. Не образует плёнки и сгустков при хранении. Светлые тона получаются при введении пасты 0,1-0,5% от веса колеруемого материала. Позволяет колеровать глубокие тона. Паста содержит высокодисперсные импортные и российские пигменты, обладающие высокой светостойкостью и атмосферостойкостью.

ПРИМИНЕНИЕ 
Паста выпускается готовой к применению. Перед использование флакон с пастой встряхнуть, необходимое количество пасты добавить в небольшую часть краски, перемешать. Полученную смесь добавить при постоянном перемешивании в остальную часть краски, вновь тщательно перемешать. Вводить в краски - не более 10,0%.

СОСТАВ
Пропиленгликоль, пигменты, вода, функциональные добавки";55.00;штука;нет
Колер 035 графит универсальный 100мл Престиж (6) Ю2020;"ОБЛАСТЬ ПРЕМИНЕНИЯ
Предназначена для колеровки эмалей, красок, лаков и шпатлевок всех типов: латексных и акриловых на водной основе, алкидных на органических растворителях, масляных на олифах и других лакокрасочных материалов, а так же цементных составов, штукатурок, затирок для швов.
Используется для наружных и внутренних работ, для всех видов поверхностей.

СВОЙСТВА
Высокая универсальность применения, светостойкость, яркость, насыщенность оттенков. Паста морозоустойчива, имеет длительный срок хранения. Не образует плёнки и сгустков при хранении. Светлые тона получаются при введении пасты 0,1-0,5% от веса колеруемого материала. Позволяет колеровать глубокие тона. Паста содержит высокодисперсные импортные и российские пигменты, обладающие высокой светостойкостью и атмосферостойкостью.

ПРИМИНЕНИЕ 
Паста выпускается готовой к применению. Перед использование флакон с пастой встряхнуть, необходимое количество пасты добавить в небольшую часть краски, перемешать. Полученную смесь добавить при постоянном перемешивании в остальную часть краски, вновь тщательно перемешать. Вводить в краски - не более 10,0%.

СОСТАВ
Пропиленгликоль, пигменты, вода, функциональные добавки";55.00;штука;нет
Колер 037 охра универсальный 100мл Престиж (6);"ОБЛАСТЬ ПРЕМИНЕНИЯ
Предназначена для колеровки эмалей, красок, лаков и шпатлевок всех типов: латексных и акриловых на водной основе, алкидных на органических растворителях, масляных на олифах и других лакокрасочных материалов, а так же цементных составов, штукатурок, затирок для швов.
Используется для наружных и внутренних работ, для всех видов поверхностей.

СВОЙСТВА
Высокая универсальность применения, светостойкость, яркость, насыщенность оттенков. Паста морозоустойчива, имеет длительный срок хранения. Не образует плёнки и сгустков при хранении. Светлые тона получаются при введении пасты 0,1-0,5% от веса колеруемого материала. Позволяет колеровать глубокие тона. Паста содержит высокодисперсные импортные и российские пигменты, обладающие высокой светостойкостью и атмосферостойкостью.

ПРИМИНЕНИЕ 
Паста выпускается готовой к применению. Перед использование флакон с пастой встряхнуть, необходимое количество пасты добавить в небольшую часть краски, перемешать. Полученную смесь добавить при постоянном перемешивании в остальную часть краски, вновь тщательно перемешать. Вводить в краски - не более 10,0%.

СОСТАВ
Пропиленгликоль, пигменты, вода, функциональные добавки";55.00;штука;да
Колер 038 шампань универсальный 100мл Престиж (6);"ОБЛАСТЬ ПРЕМИНЕНИЯ
Предназначена для колеровки эмалей, красок, лаков и шпатлевок всех типов: латексных и акриловых на водной основе, алкидных на органических растворителях, масляных на олифах и других лакокрасочных материалов, а так же цементных составов, штукатурок, затирок для швов.
Используется для наружных и внутренних работ, для всех видов поверхностей.

СВОЙСТВА
Высокая универсальность применения, светостойкость, яркость, насыщенность оттенков. Паста морозоустойчива, имеет длительный срок хранения. Не образует плёнки и сгустков при хранении. Светлые тона получаются при введении пасты 0,1-0,5% от веса колеруемого материала. Позволяет колеровать глубокие тона. Паста содержит высокодисперсные импортные и российские пигменты, обладающие высокой светостойкостью и атмосферостойкостью.

ПРИМИНЕНИЕ 
Паста выпускается готовой к применению. Перед использование флакон с пастой встряхнуть, необходимое количество пасты добавить в небольшую часть краски, перемешать. Полученную смесь добавить при постоянном перемешивании в остальную часть краски, вновь тщательно перемешать. Вводить в краски - не более 10,0%.

СОСТАВ
Пропиленгликоль, пигменты, вода, функциональные добавки";55.00;штука;да
