Название;Детальное описание;Максимальная цена;Ед. измерения;Доступность
DK LD19 SL OR/WH  ЭРА декор cо светодиодной подсветкой MR16, прозрачный оранжевый;"Светильник декоративный cо светодиодной подсветкой ЭРА.

Характеристики

Вес, гр:140
Мощность, Вт (Вт/м):50
Объем, м .куб.:0.000525
Диаметр отверстия, мм:65
Материал корпуса:Resin / Алюминий
Цвет корпуса:Прозрачный оранжевый
Степень защиты:IP20
Срок службы:Не ограничен
Тип лампы:MR16
Размеры ДхШхВ, мм:95x30
Модель:Dk ld19 sl or/wh
Мощность дополнительной светодиодной подсветки, Вт:3
Источник света:Тип лампы MR16, мощность мах 50W, цоколь GU5.3, напряжение для лампы 12/220V, напряжение для подсветки 220V.
Применение:Для основного и акцентного освещения жилых и офисных помещений
Условия хранения:Не требует особых условий хранений
Функциональные преимущества:- Абсолютно равномерное свечение - Отсутствие пульсаций светового потока - Высокая энергоэффективность
Цвет подсветки:Белая
С подсветкой:3W";280.00;штука;нет
DK LD2 SL/BL+WH  ЭРА декор c голубой светодиодной подсветкой, MR16, прозрачный;"Софит ЭРА DK LD2 SL/BL+WH выполнен в круглом алюминиевом корпусе шириной 100 мм и содержит декоративную прозрачную окантовку, расположенную по кругу. Внутри нее находятся светодиоды, которые при включении софита позволяют создать удивительный световой эффект. Устройство может использоваться в нескольких режимах: в режиме свечения лампы, подсветки и лампы с подсветкой.
Светильник ЭРА DK LD2 SL/BL+WH мощностью 7 Вт подходит для ламп с цоколем GU5.3. Он поддерживает потолочное или настенное крепление в заранее подготовленное отверстие. Для более надежной фиксации софита предусмотрены две элемента крепления.";125.00;штука;да
DK LD2 SL/GR+WH  ЭРА декор c зеленой светодиодной подсветкой, MR16,  прозрачный;"Светильник декоративный cо светодиодной подсветкой ЭРА.

Характеристики

Вес, гр:140
Цветовая температура, K:4000
Объем, м .куб.:0.000605
Диаметр отверстия, мм:65
Материал корпуса:Resin / Алюминий
Цвет корпуса:Прозрачный
Степень защиты:IP20
Срок службы:Не ограничен
Цвет свечения:дневной белый 4000K
Размеры ДхШхВ, мм:100
Модель:Dk ld2 sl/gr+wh
Мощность дополнительной светодиодной подсветки, Вт:3
Источник света:Тип лампы MR16 LED, мощность мах 7W, цоколь GU5.3, напряжение для лампы 12/220V, напряжение для подсветки 220V.
Применение:Для основного и акцентного освещения жилых и офисных помещений
Условия хранения:Не требует особых условий хранений
Функциональные преимущества:- Абсолютно равномерное свечение - Отсутствие пульсаций светового потока - Высокая энергоэффективность
Светодиодная подсветка:Да
Цвет подсветки:Зеленая";210.00;штука;нет
DK LD2 SL/WH+PU  ЭРА декор cо светодиодной подсветкой, MR16,( белый+фиолетовый), прозрачный;"Светильник декоративный cо светодиодной подсветкой ЭРА.

Характеристики

Вес, гр:140
Цветовая температура, K:4000
Объем, м .куб.:0.000605
Диаметр отверстия, мм:65
Материал корпуса:Resin / Алюминий
Цвет корпуса:Прозрачный
Степень защиты:IP20
Срок службы:Не ограничен
Цвет свечения:дневной белый 4000K
Размеры ДхШхВ, мм:100
Модель:Dk ld2 sl/wh+pu
Мощность дополнительной светодиодной подсветки, Вт:3
Источник света:Тип лампы MR16 LED, мощность мах 7W, цоколь GU5.3, напряжение для лампы 12/220V, напряжение для подсветки 220V.
Применение:Для основного и акцентного освещения жилых и офисных помещений
Условия хранения:Не требует особых условий хранений
Функциональные преимущества:- Абсолютно равномерное свечение - Отсутствие пульсаций светового потока - Высокая энергоэффективность
Светодиодная подсветка:Да
Цвет подсветки:Белая+фиолетовая
";375.00;штука;нет
DK LD2 TEA/WH  ЭРА декор c белой светодиодной подсветкой, MR16, чай;"Светильник декоративный cо светодиодной подсветкой ЭРА.

Характеристики

Вес, гр:140
Цветовая температура, K:4000
Объем, м .куб.:0.000605
Диаметр отверстия, мм:65
Материал корпуса:Resin / Алюминий
Цвет корпуса:Коричневый
Степень защиты:IP20
Срок службы:Не ограничен
Цвет свечения:дневной белый 4000K
Размеры ДхШхВ, мм:100
Модель:Dk ld2 tea/wh
Мощность дополнительной светодиодной подсветки, Вт:3
Источник света:Тип лампы MR16, мощность мах 50W, цоколь GU5.3, напряжение для лампы 12/220V, напряжение для подсветки 220V.
Применение:Для основного и акцентного освещения жилых и офисных помещений
Условия хранения:Не требует особых условий хранений
Функциональные преимущества:- Абсолютно равномерное свечение - Отсутствие пульсаций светового потока - Высокая энергоэффективность
Светодиодная подсветка:Да
Цвет подсветки:Белая";375.00;штука;нет
DK LD3 SL/RGB  ЭРА декор cо светодиодной подсветкой, MR16( мультиколор), прозрачный;"Светильник декоративный cо светодиодной подсветкой ЭРА.

Характеристики

Вес, гр:140
Цветовая температура, K:4000
Объем, м .куб.:0.000475
Диаметр отверстия, мм:65
Материал корпуса:Resin / Алюминий
Цвет корпуса:Прозрачный
Степень защиты:IP20
Срок службы:Не ограничен
Цвет свечения:дневной белый 4000K
Размеры ДхШхВ, мм:100
Модель:Dk ld3 sl/rgb
Мощность дополнительной светодиодной подсветки, Вт:3
Источник света:Тип лампы MR16 LED, мощность мах 7W, цоколь GU5.3, напряжение для лампы 12/220V, напряжение для подсветки 220V.
Применение:Для основного и акцентного освещения жилых и офисных помещений
Условия хранения:Не требует особых условий хранений
Функциональные преимущества:- Абсолютно равномерное свечение - Отсутствие пульсаций светового потока - Высокая энергоэффективность
Светодиодная подсветка:Да
Цвет подсветки:Мультиколор";375.00;штука;нет
DK LD3 SL/WH  ЭРА декор c белой светодиодной подсветкой, MR16 прозрачный;"Светильник декоративный cо светодиодной подсветкой ЭРА.

Характеристики

Вес, гр:173.5
Мощность, Вт (Вт/м):12
Цветовая температура, K:4000
Объем, м .куб.:0.000625
Диаметр отверстия, мм:65
Материал корпуса:Resin / Стекло
Цвет корпуса:Прозрачный
Степень защиты:IP20
Срок службы:Не ограничен
Цоколь лампы:GU 5.3
Цвет свечения:дневной белый 4000K
Размеры ДхШхВ, мм:115x25
Модель:DK LD33
Мощность дополнительной светодиодной подсветки, Вт:3
Источник света:Тип лампы MR16 LED, мощность мах 12W, цоколь GU5.3, напряжение для лампы 220V, напряжение для подсветки 220V.
Применение:Для основного и акцентного освещения жилых и офисных помещений
Условия хранения:Не требует особых условий хранений
Функциональные преимущества:- Абсолютно равномерное свечение - Отсутствие пульсаций светового потока - Высокая энергоэффективность
Драйвер:Изолированный
Светодиодная подсветка:Да
Цвет подсветки:Белая
С подсветкой:3W 4000K";375.00;штука;нет
DK LD3 SL/WH+BL  ЭРА декор cо светодиодной подсветкой, MR16( белый+голубой), прозрачный;"Светильник декоративный cо светодиодной подсветкой ЭРА.

Характеристики

Вес, гр:160
Цветовая температура, K:4000
Объем, м .куб.:0.0005445
Диаметр отверстия, мм:65
Материал корпуса:Resin / Алюминий
Цвет корпуса:Прозрачный
Степень защиты:IP20
Срок службы:Не ограничен
Цвет свечения:дневной белый 4000K
Размеры ДхШхВ, мм:100
Модель:Dk ld3 sl/wh+bl
Мощность дополнительной светодиодной подсветки, Вт:3
Источник света:Тип лампы MR16 LED, мощность мах 7W, цоколь GU5.3, напряжение для лампы 12/220V, напряжение для подсветки 220V.
Применение:Для основного и акцентного освещения жилых и офисных помещений
Условия хранения:Не требует особых условий хранений
Функциональные преимущества:- Абсолютно равномерное свечение - Отсутствие пульсаций светового потока - Высокая энергоэффективность
Светодиодная подсветка:Да
Цвет подсветки:Белая+голубая";375.00;штука;нет
DK LD4 BL/WH  ЭРА декор cо светодиодной подсветкой MR16, голубой;"Светильник декоративный cо светодиодной подсветкой ЭРА.

Характеристики

Вес, гр:140
Мощность, Вт (Вт/м):50
Объем, м .куб.:0.000525
Диаметр отверстия, мм:65
Материал корпуса:Resin / Алюминий
Цвет корпуса:Голубой
Степень защиты:IP20
Срок службы:Не ограничен
Тип лампы:MR16
Размеры ДхШхВ, мм:95x30
Модель:Dk ld4 bl/wh
Мощность дополнительной светодиодной подсветки, Вт:3
Источник света:Тип лампы MR16, мощность мах 50W, цоколь GU5.3, напряжение для лампы 12/220V, напряжение для подсветки 220V.
Применение:Для основного и акцентного освещения жилых и офисных помещений
Условия хранения:Не требует особых условий хранений
Функциональные преимущества:- Абсолютно равномерное свечение - Отсутствие пульсаций светового потока - Высокая энергоэффективность
Цвет подсветки:Белая
С подсветкой:3W";98.00;штука;нет
DK LD4 CHP/WH  ЭРА декор cо светодиодной подсветкой MR16, шампань;"Светильник декоративный cо светодиодной подсветкой ЭРА.

Характеристики

Вес, гр:140
Мощность, Вт (Вт/м):50
Объем, м .куб.:0.0005
Диаметр отверстия, мм:65
Материал корпуса:Resin / Алюминий
Цвет корпуса:Шампань
Степень защиты:IP20
Срок службы:Не ограничен
Тип лампы:MR16
Размеры ДхШхВ, мм:95x30
Модель:Dk ld4 chp/wh
Мощность дополнительной светодиодной подсветки, Вт:3
Источник света:Тип лампы MR16, мощность мах 50W, цоколь GU5.3, напряжение для лампы 12/220V, напряжение для подсветки 220V.
Применение:Для основного и акцентного освещения жилых и офисных помещений
Условия хранения:Не требует особых условий хранений
Функциональные преимущества:- Абсолютно равномерное свечение - Отсутствие пульсаций светового потока - Высокая энергоэффективность
Цвет подсветки:Белая
С подсветкой:3W
";375.00;штука;нет
DK LD4 SL/RGB  ЭРА декор cо светодиодной подсветкой, MR16( мультиколор), прозрачный;"Светильник декоративный cо светодиодной подсветкой ЭРА.

Характеристики

Вес, гр:120
Цветовая температура, K:4000
Объем, м .куб.:0.0005
Диаметр отверстия, мм:65
Материал корпуса:Resin / Алюминий
Цвет корпуса:Прозрачный
Степень защиты:IP20
Срок службы:Не ограничен
Цвет свечения:дневной белый 4000K
Размеры ДхШхВ, мм:100
Модель:Dk ld4 sl/rgb
Мощность дополнительной светодиодной подсветки, Вт:3
Источник света:Тип лампы MR16 LED, мощность мах 7W, цоколь GU5.3, напряжение для лампы 12/220V, напряжение для подсветки 220V.
Применение:Для основного и акцентного освещения жилых и офисных помещений
Условия хранения:Не требует особых условий хранений
Функциональные преимущества:- Абсолютно равномерное свечение - Отсутствие пульсаций светового потока - Высокая энергоэффективность
Светодиодная подсветка:Да
Цвет подсветки:Мультиколор";375.00;штука;нет
DK LD4 TEA/WH+PU  ЭРА декор cо светодиодной подсветкой, MR16( белый+фиолетовый), чай;"Светильник декоративный cо светодиодной подсветкой ЭРА.

Характеристики

Вес, гр:140
Цветовая температура, K:4000
Объем, м .куб.:0.0006325
Диаметр отверстия, мм:65
Материал корпуса:Resin / Алюминий
Цвет корпуса:Чайный
Степень защиты:IP20
Срок службы:Не ограничен
Цвет свечения:дневной белый 4000K
Размеры ДхШхВ, мм:100
Модель:Dk ld4 tea/wh+pu
Мощность дополнительной светодиодной подсветки, Вт:3
Источник света:Тип лампы MR16 LED, мощность мах 7W, цоколь GU5.3, напряжение для лампы 12/220V, напряжение для подсветки 220V.
Применение:Для основного и акцентного освещения жилых и офисных помещений
Условия хранения:Не требует особых условий хранений
Функциональные преимущества:- Абсолютно равномерное свечение - Отсутствие пульсаций светового потока - Высокая энергоэффективность
Светодиодная подсветка:Да
Цвет подсветки:Белая+фиолетовая";375.00;штука;нет
DK LD5 PK/WH  ЭРА декор cо светодиодной подсветкой MR16, розовый;"Светильник декоративный cо светодиодной подсветкой ЭРА.

Характеристики

Вес, гр:140
Мощность, Вт (Вт/м):50
Объем, м .куб.:0.000525
Диаметр отверстия, мм:65
Материал корпуса:Resin / Алюминий
Цвет корпуса:Розовый
Степень защиты:IP20
Срок службы:Не ограничен
Тип лампы:MR16
Размеры ДхШхВ, мм:95x30
Модель:Dk ld5 pk/wh
Мощность дополнительной светодиодной подсветки, Вт:3
Источник света:Тип лампы MR16, мощность мах 50W, цоколь GU5.3, напряжение для лампы 12/220V, напряжение для подсветки 220V.
Применение:Для основного и акцентного освещения жилых и офисных помещений
Условия хранения:Не требует особых условий хранений
Функциональные преимущества:- Абсолютно равномерное свечение - Отсутствие пульсаций светового потока - Высокая энергоэффективность
Цвет подсветки:Белая
С подсветкой:3W";225.00;штука;нет
